,name,amount_of_fan
7487,Red Mist | Freakdog,2
7488,Red Notice,81
7489,Red One,1
7490,Red Planet,1
7491,Red Riding Hood,2
7492,Red Riding Hood,54
7493,Красная Шапочка | Red Riding Hood,5
7494,Red River,8
7495,红河 | Red River,1
7496,Red Scorpion,1
7497,The Red Sea Diving Resort,183
7498,The Red Shoes,13
7499,Red Shoes and the 7 Dwarfs,93
7500,Red Sonja,2
7501,Red Sparrow,4
7502,Red State,2
7503,Red Tails,2
7504,The Red Turtle,1
7505,Red Wing,1
7506,Reds,1
7507,Reeker,1
7508,The Ref,1
7509,The Reflecting Skin,2
7510,Reflections of Murder,1
7511,再生缘 | Regeneration Edge,2
7512,La Región Salvaje | The Untamed,3
7513,Reign of Fire,38
7514,Reign of Terror | The Black Book,1
7515,Reign of the Supermen,75
7516,Reindeer Games,1
7517,La Reine Margot | Queen Margot,9
7518,Relatos salvajes | Wild Tales,1
7519,Relax... It's Just Sex,1
7520,Relaxer,3
7521,Release (2010 Flaxstone & Martin),1
7522,The Reluctant Dragon,1
7523,The Reluctant Fundamentalist,2
7524,保持沉默 | Remain Silent,1
7525,Remarkable Power,1
7526,Remember Me,14
7527,Remember the Daze,1
7528,Remember the Titans,21
7529,Reminiscence,6
7530,Renegades,12
7531,Rent,161
7532,Rent-A-Pal,1
7533,The Rental,2
7534,The Replacement Killers,4
7535,困獸 | The Replacement Suspects,1
7536,The Replacements,7
7537,Replacing Dad,1
7538,Replicant,5
7539,Replicas,8
7540,Repo Man,3
7541,Repo Men,12
7542,Repo! The Genetic Opera,498
7543,The Report,36
7544,Repos,1
7545,Reprisal,21
7546,Reptilicus,1
7547,Республика ШКиД | The Republic of ShKID,7
7548,Requiem for a Dream,7
7549,Rescue Dawn,1
7550,The Rescuers,28
7551,Reservoir Dogs,587
7552,逆时营救 | Reset,1
7553,La residencia | The House That Screamed,1
7554,The Resident,35
7555,Resident Evil (Movies - Anderson),423
7556,Resident Evil: Welcome to Raccoon City,89
7557,Resistance,4
7558,Respire | Breathe,1
7559,중천 | The Restless,1
7560,Restoration,1
7561,Retfærdighedens ryttere | Riders of Justice,13
7562,The Return,1
7563,The Return of Doctor X,1
7564,十月初五的月光 | Return of the Cuckoo,3
7565,Return of the Goat,2
7566,Return of the Killer Tomatoes!,1
7567,Return of the Living Dead,15
7568,新英雄本色 | Return to a Better Tomorrow,2
7569,Return To Me,2
7570,Return to Oz,17
7571,Остров сокровищ | Return to Treasure Island,20
7572,The Returned,1
7573,Returner,1
7574,Reunion,1
7575,手足情深 | Reunion,1
7576,重启 | Reunion (Movies 2021-2022),32
7577,The Revenant,1
7578,The Revenant,30
7579,Revenge for Jolly!,6
7580,リベンジgirl | Revenge Girl,1
7581,Revenge of the Nerds,1
7582,复仇者之死 | Revenge: A Love Story,1
7583,Revengers Tragedy,11
7584,Reviving Ophelia,1
7585,Revolutionary Road,2
7586,Revolver,5
7587,Rewind,1
7588,Rex Steele: Nazi Smasher,3
7589,The Rezort,2
7590,Rhinestone,2
7591,伴我縱橫 | Rhythm of Destiny,6
7592,Rialto,1
7593,江湖情 | Rich and Famous,7
7594,Richard III,3
7595,Richard Jewell,1
7596,Richie Rich,2
7597,Richy Guitar,12
7598,Ricki and the Flash,6
7599,Ricochet,1
7600,Ricordi?,5
7601,Riddick,146
7602,The Riddle of the Sands,3
7603,The Ride,3
7604,Ride the Eagle,1
7605,Riff-Raff,1
7606,The Right Stuff,4
7607,Righteous Kill,2
7608,殭屍 | Rigor Mortis,6
7609,力王 | Riki-Oh: The Story Of Ricky,2
7610,Rillenfieber,1
7611,Rim of the World,5
7612,The Ring,32
7613,The Ringer,1
7614,Ringo,1
7615,Ringu | The Ring - All Media Types,88
7616,輪廻の雨 | Rinne no Ame | Rain of Reincarnation,1
7617,Rio (Movies - Saldanha),39
7618,Rio Bravo,8
7619,The Riot Club,17
7620,Riot Girls,1
7621,Ripley's Game,1
7622,Rise of the Guardians,10167
7623,Rise of the Planet of the Apes,172
7624,Rise: Blood Hunter,1
7625,林寺之得宝传奇 | Rising Shaolin: The Protector,1
7626,Rising Sun,1
7627,Risky Business,3
7628,The Rite,2
7629,The Ritual,32
7630,Rituals,1
7631,River's Edge,10
7632,Riverfront Romance,1
7633,Les rivières pourpres | The Crimson Rivers,3
7634,Road House,11
7635,Road to Bali,1
7636,The Road to Christmas,1
7637,The Road to El Dorado,331
7638,Road to Morocco,1
7639,Road to Paloma,2
7640,Road to Perdition,6
7641,Road to Rio,1
7642,Road to Singapore,1
7643,Road to Utopia,1
7644,Road to Zanzibar,1
7645,Road Trip,4
7646,The Road Within,17
7647,Roadkill,1
7648,The Roaring Twenties,1
7649,Rob Roy,5
7650,寶貝計劃 | ROB-B-HOOD,1
7651,Roberta,4
7652,Robin and the 7 Hoods,1
7653,Robin Hood - All Media Types,2397
7654,Robin Hood,97
7655,Robin Hood,34
7656,Robin Hood,49
7657,Robin Hood: Men in Tights,13
7658,Robin Hood: Prince of Thieves,62
7659,RoboCop - All Media Types,70
7660,RoboCop (Movies 1987-1993),24
7661,RoboCop,20
7662,Robocroc,1
7663,Robot Stories,1
7664,Robots,39
7665,Rock 'n' Roll Highschool,10
7666,The Rock,18
7667,Rock & Rule,18
7668,摇滚藏獒 | Rock Dog,39
7669,Rock Haven,1
7670,Rock My World,1
7671,Rock of Ages,47
7672,Rock On!!,3
7673,Rock-a-Doodle,6
7674,Rockaway,1
7675,Rocket Science,3
7676,Rocket's Red Glare,1
7677,The Rocketeer,8
7678,Rocketman,303
7679,RocknRolla,267
7680,Rockula,1
7681,The Rocky & Bullwinkle Show,85
7682,Rocky Horror Picture Show,345
7683,The Rocky Horror Picture Show: Let's Do The Time Warp Again,8
7684,Rocky Road,1
7685,Rocky Series,87
7686,Roger Dangerfield,2
7687,Rogue,1
7688,Rogue,3
7689,Rogue One: A Star Wars Story,9362
7690,Le Roi et l'Oiseau | The King and the Mockingbird,1
7691,Roja,1
7692,Rökkur | Rift,1
7693,Role Models,1
7694,Roll Bounce,3
7695,Rollerball,1
7696,Rollercoaster,1
7697,Roma città aperta | Rome Open City,1
7698,Roman Holiday,20
7699,Roman J. Israel Esq.,1
7700,Romancing the Stone,2
7701,Romans | Retaliation,2
7702,The Romantics,4
7703,Romasanta | Werewolf Hunt,1
7704,Romeo & Juliet,8
7705,Romeo And Juliet - All Media Types,2164
7706,Romeo and Juliet,4
7707,Romeo and Juliet,48
7708,Roméo et Juliette - Presgurvic,732
7709,Romeo et Juliette,2
7710,Romeo Must Die,3
7711,Romeo+Juliet,55
7712,Romeos,3
7713,Romper Stomper,2
7714,Romy and Michele's High School Reunion,3
7715,Ron's Gone Wrong,7
7716,Ronin,1
7717,Rookie of the Year,2
7718,素人特工｜The Rookies,1
7719,The Room,53
7720,Room,12
7721,Room For Rent,1
7722,A Room With a View - All Media Types,27
7723,Rope,77
7724,Rosaline,4
7725,Rosario Tijeras,1
7726,玫瑰的故事 | The Rose,2
7727,白玫瑰 | Rose,1
7728,Rosemary's Baby,14
7729,胭脂扣 | Rouge,1
7730,Rough Night,4
7731,双程 | A Round Trip To Love,2
7732,Rounders,4
7733,Roustabout,1
7734,The Rover,17
7735,Roxanne,1
7736,#Roxy,2
7737,Roxy Hunter,1
7738,A Royal Affair,45
7739,A Royal Night Out,1
7740,Royal Tenenbaums,36
7741,RRR,244
7742,Rubber,2
7743,Rubber's Lover,1
7744,Rubinrot | Ruby Red,5
7745,The Ruby Ring,1
7746,Ruby Sparks,9
7747,Rudderless,10
7748,Rudolf's Revenge,1
7749,Rudolph the Red-Nosed Reindeer - All Media Types,74
7750,Rudy,1
7751,Rufus,2
7752,Rufus | Hunted,1
7753,The Ruins,4
7754,第一诫 | Rule #1,6
7755,The Rules of Attraction,11
7756,Rumble,1
7757,紅番區 | Rumble in the Bronx,1
7758,Rumor Has It,1
7759,Rumspringa,4
7760,Run,16
7761,Run All Night,3
7762,Run Fatboy Run,3
7763,Run Hide Fight,2
7764,Run Sweetheart Run,2
7765,飆城 | Runaway Blues,1
7766,Runaway Bride,5
7767,The Runaways,20
7768,The Rundown,35
7769,Rundskop | Bullhead,2
7770,The Runestone,1
7771,Runner Runner,4
7772,The Running Man,1
7773,The Running Man,3
7774,Running Man,1
7775,大隻佬 | Running on Karma,1
7776,暗戰 | Running Out of Time (Movies - Johnnie To),22
7777,Running Scared,2
7778,Running Wild,1
7779,Rūrangi,4
7780,Rusalochka | The Little Mermaid,3
7781,Rush,347
7782,Rush Hour,25
7783,Rushmore,2
7784,The Russell Girl,1
7785,Rust Creek,1
7786,Ruthless People,1
7787,Рыжий рыжий конопатый | Ryzhiy ryzhiy konopatyy | Red red freckled,1
